Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
American Samoa,Western Pacific,7471,13535.156,327,592.424,0,33,59.786,2,3.623,0
Chad,Africa,7427,45.215,0,,0,193,1.175,0,,0
British Virgin Islands,Americas,7131,23583.689,190,628.369,0,63,208.354,0,0,0
Saint Kitts and Nevis,Americas,6399,12030.005,67,125.959,13,45,84.599,0,0,0
Turks and Caicos Islands,Americas,6255,16155.277,21,54.238,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,6087,2777.436,8,3.65,0,74,33.765,0,0,0
Cook Islands,Western Pacific,5831,33198.588,17,96.789,0,1,5.693,0,0,0
Palau,Western Pacific,5214,28819.368,15,82.91,15,6,33.164,0,0,0
Saint Barthélemy,Americas,4954,50116.338,109,1102.681,0,5,50.582,0,0,0
Nauru,Western Pacific,4395,40566.734,60,553.812,0,1,9.23,0,0,0
Anguilla,Americas,3535,23563.525,39,259.965,39,9,59.992,0,0,0
Kiribati,Western Pacific,3236,2709.106,0,,0,13,10.883,0,,0
Saint Pierre and Miquelon,Americas,2970,51251.079,113,1949.957,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1831,52569.624,0,,0,0,0,0,,0
Sint Eustatius,Americas,1092,34788.149,44,1401.72,44,5,159.286,0,0,0
Montserrat,Americas,1025,20504.101,2,40.008,0,8,160.032,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,645,33367.822,6,310.398,6,2,103.466,0,0,0
Wallis and Futuna,Western Pacific,533,4739.463,77,684.688,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,82,71.29,44,38.253,44,0,0,0,0,0
Marshall Islands,Western Pacific,49,82.779,2,3.379,0,0,0,0,0,0
Niue,Western Pacific,29,1792.336,3,185.414,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,,0,0,0,0,,0
Pitcairn Islands,Western Pacific,4,8000,4,8000,4,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,,0,0,0,0,,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,,0,0,0,0,,0
Saint Helena,Africa,0,0,0,,0,0,0,0,,0
Tokelau,Western Pacific,0,0,0,,0,0,0,0,,0
Turkmenistan,Europe,0,0,0,,0,0,0,0,,0
